Event Name,Event Date,Venue,City,Fighter 1,BetOnline,Pinnacle,Fighter 2,BetOnline,Pinnacle,Link
Super RIZIN 2,"July 30, 2023",Saitama Super Arena,"Saitama, Japan",Mikuru Asakura,-125,,Vugar Kyarimov,-105,,https://fightodds.io/mma-events/4772/super-rizin-2/odds
Super RIZIN 2,"July 30, 2023",Saitama Super Arena,"Saitama, Japan",Hiromasa Ogikubo,+325,,Juan Archuleta,-425,,https://fightodds.io/mma-events/4772/super-rizin-2/odds
Super RIZIN 2,"July 30, 2023",Saitama Super Arena,"Saitama, Japan",Seika Izawa,-550,,Claire Lopez,+400,,https://fightodds.io/mma-events/4772/super-rizin-2/odds
Super RIZIN 2,"July 30, 2023",Saitama Super Arena,"Saitama, Japan",Patricio Freire,-550,,Chihiro Suzuki,+400,,https://fightodds.io/mma-events/4772/super-rizin-2/odds
Super RIZIN 2,"July 30, 2023",Saitama Super Arena,"Saitama, Japan",Tofiq Musayev,-650,,Akira Okada,+475,,https://fightodds.io/mma-events/4772/super-rizin-2/odds
Super RIZIN 2,"July 30, 2023",Saitama Super Arena,"Saitama, Japan",Kenta Takizawa,-105,,Shinobu Ota,-125,,https://fightodds.io/mma-events/4772/super-rizin-2/odds
Super RIZIN 2,"July 30, 2023",Saitama Super Arena,"Saitama, Japan",Daichi Abe,+190,,Igor Tanabe,-240,,https://fightodds.io/mma-events/4772/super-rizin-2/odds
Super RIZIN 2,"July 30, 2023",Saitama Super Arena,"Saitama, Japan",Yuki Ito,-450,,Hiroya Kondo,+350,,https://fightodds.io/mma-events/4772/super-rizin-2/odds
OKTAGON 45: Mågård vs Lima,"July 29, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Felipe Lima,+170,,Jonas Magard,-210,,https://fightodds.io/mma-events/5118/oktagon-45-magard-vs-lima/odds
OKTAGON 45: Mågård vs Lima,"July 29, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Robert Bryczek,-185,,Samuel Kristofic,+155,,https://fightodds.io/mma-events/5118/oktagon-45-magard-vs-lima/odds
OKTAGON 45: Mågård vs Lima,"July 29, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Vladimir Lengal,-165,,Michael Deiga Scheck,+135,,https://fightodds.io/mma-events/5118/oktagon-45-magard-vs-lima/odds
OKTAGON 45: Mågård vs Lima,"July 29, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Ion Surdu,-115,,Mate Kertesz,-115,,https://fightodds.io/mma-events/5118/oktagon-45-magard-vs-lima/odds
OKTAGON 45: Mågård vs Lima,"July 29, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Shem Rock,-200,,Jan Malach,+160,,https://fightodds.io/mma-events/5118/oktagon-45-magard-vs-lima/odds
OKTAGON 45: Mågård vs Lima,"July 29, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Radovan Uskrt,-105,,Tato Primera,-125,,https://fightodds.io/mma-events/5118/oktagon-45-magard-vs-lima/odds
OKTAGON 45: Mågård vs Lima,"July 29, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Ole Magnor,-175,,Václav Mikulášek,+145,,https://fightodds.io/mma-events/5118/oktagon-45-magard-vs-lima/odds
OKTAGON 45: Mågård vs Lima,"July 29, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Jaime Cordero,,,Gabriel Torok,,,https://fightodds.io/mma-events/5118/oktagon-45-magard-vs-lima/odds
OKTAGON 45: Mågård vs Lima,"July 29, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Radek Rousal,-166,,Armand Herczeg,+136,,https://fightodds.io/mma-events/5118/oktagon-45-magard-vs-lima/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Shaj Haque,+110,+100,Michele Martignoni,-130,-119,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Dario Bellandi,-148,-144,Naglis Kanisauskas,+128,+120,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Mason Jones,-1400,-2100,Alexandre Ribeiro,+800,+919,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Micol di Segni,+100,-125,Amanda Torres,-120,+105,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Michael Pagani,+180,+175,James Power,-210,-217,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Emanuele Zaccaria,-128,,Sylwester Miller,+108,,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Dumitru Girlean,-106,,Leon Hill,-114,,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Niko Ceraglia,,,Simone Manno,,,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Gianluca Scottoli,+250,,Sam Kelly,-300,,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Gianluca Rocca,+105,,Guido Possidente,-125,,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Daan Duijs,,,Alexander Sasha Pirev,,,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Emanuele Sabatino,-225,,Aaron Johnson,+190,,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Dario Palazzo,+205,,Emanuele Tetti,-240,,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Cage Warriors 158: Haque vs. Martignoni,"July 29, 2023",Fiera Roma,"Rome, Italy",Florian Doskja,+105,,Amir Malekpour,-125,,https://fightodds.io/mma-events/4682/cage-warriors-158-haque-vs-martignoni/odds
Bellator MMA vs. RIZIN 2: McKee vs. Pitbull,"July 29, 2023",Saitama Super Arena,"Saitama, Japan",Patricky Freire,+165,+155,Roberto de Souza,-190,-185,https://fightodds.io/mma-events/4769/bellator-mma-vs-rizin-2-mckee-vs-pitbull/odds
Bellator MMA vs. RIZIN 2: McKee vs. Pitbull,"July 29, 2023",Saitama Super Arena,"Saitama, Japan",Kyoji Horiguchi,-360,-415,Makoto Takahashi,+285,+310,https://fightodds.io/mma-events/4769/bellator-mma-vs-rizin-2-mckee-vs-pitbull/odds
Bellator MMA vs. RIZIN 2: McKee vs. Pitbull,"July 29, 2023",Saitama Super Arena,"Saitama, Japan",Kana Watanabe,-550,-398,Veta Arteaga,+400,+300,https://fightodds.io/mma-events/4769/bellator-mma-vs-rizin-2-mckee-vs-pitbull/odds
Bellator MMA vs. RIZIN 2: McKee vs. Pitbull,"July 29, 2023",Saitama Super Arena,"Saitama, Japan",Danny Sabatello,-250,-230,Magomed Magomedov,+210,+188,https://fightodds.io/mma-events/4769/bellator-mma-vs-rizin-2-mckee-vs-pitbull/odds
Bellator MMA vs. RIZIN 2: McKee vs. Pitbull,"July 29, 2023",Saitama Super Arena,"Saitama, Japan",Andrey Koreshkov,-130,-140,Lorenz Larkin,+110,+119,https://fightodds.io/mma-events/4769/bellator-mma-vs-rizin-2-mckee-vs-pitbull/odds
UFC 291: Poirier vs. Gaethje 2,"July 29, 2023",Vivint Arena,"Salt Lake City, Utah, United States",Dustin Poirier,-151,-144,Justin Gaethje,+131,+127,https://fightodds.io/mma-events/4744/ufc-291-poirier-vs-gaethje-2/odds
UFC 291: Poirier vs. Gaethje 2,"July 29, 2023",Vivint Arena,"Salt Lake City, Utah, United States",Jan Blachowicz,+102,+101,Alex Pereira,-122,-114,https://fightodds.io/mma-events/4744/ufc-291-poirier-vs-gaethje-2/odds
UFC 291: Poirier vs. Gaethje 2,"July 29, 2023",Vivint Arena,"Salt Lake City, Utah, United States",Derrick Lewis,+170,+178,Marcos Rogerio de Lima,-200,-205,https://fightodds.io/mma-events/4744/ufc-291-poirier-vs-gaethje-2/odds
UFC 291: Poirier vs. Gaethje 2,"July 29, 2023",Vivint Arena,"Salt Lake City, Utah, United States",Tony Ferguson,+285,+255,Bobby Green,-360,-417,https://fightodds.io/mma-events/4744/ufc-291-poirier-vs-gaethje-2/odds
UFC 291: Poirier vs. Gaethje 2,"July 29, 2023",Vivint Arena,"Salt Lake City, Utah, United States",Mike Chiesa,+120,+105,Kevin Holland,-140,-140,https://fightodds.io/mma-events/4744/ufc-291-poirier-vs-gaethje-2/odds
UFC 291: Poirier vs. Gaethje 2,"July 29, 2023",Vivint Arena,"Salt Lake City, Utah, United States",Gabriel Bonfim,-365,-410,Trevin Giles,+290,+252,https://fightodds.io/mma-events/4744/ufc-291-poirier-vs-gaethje-2/odds
UFC 291: Poirier vs. Gaethje 2,"July 29, 2023",Vivint Arena,"Salt Lake City, Utah, United States",Carlos Vergara,-172,-165,Vinicius Salvador,+147,+145,https://fightodds.io/mma-events/4744/ufc-291-poirier-vs-gaethje-2/odds
UFC 291: Poirier vs. Gaethje 2,"July 29, 2023",Vivint Arena,"Salt Lake City, Utah, United States",Roman Kopylov,-250,-246,Claudio Ribeiro,+210,+210,https://fightodds.io/mma-events/4744/ufc-291-poirier-vs-gaethje-2/odds
UFC 291: Poirier vs. Gaethje 2,"July 29, 2023",Vivint Arena,"Salt Lake City, Utah, United States",Jake Matthews,-284,-279,Darrius Flowers,+244,+235,https://fightodds.io/mma-events/4744/ufc-291-poirier-vs-gaethje-2/odds
UFC 291: Poirier vs. Gaethje 2,"July 29, 2023",Vivint Arena,"Salt Lake City, Utah, United States",Matthew Semelsberger,-205,-225,Uros Medic,+175,+160,https://fightodds.io/mma-events/4744/ufc-291-poirier-vs-gaethje-2/odds
UFC 291: Poirier vs. Gaethje 2,"July 29, 2023",Vivint Arena,"Salt Lake City, Utah, United States",Miranda Maverick,-284,-1299,Priscila Cachoeira,+244,+503,https://fightodds.io/mma-events/4744/ufc-291-poirier-vs-gaethje-2/odds
OKTAGON 45: Sanikidze vs Keita,"July 28, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Mate Sanikidze,+550,,Losene Keita,-900,,https://fightodds.io/mma-events/4756/oktagon-45-sanikidze-vs-keita/odds
OKTAGON 45: Sanikidze vs Keita,"July 28, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Karlos Vemola,-1700,,Lucas Alsina,+850,,https://fightodds.io/mma-events/4756/oktagon-45-sanikidze-vs-keita/odds
OKTAGON 45: Sanikidze vs Keita,"July 28, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Ivan Buchinger,-700,,Aboubakar Tounkara,+450,,https://fightodds.io/mma-events/4756/oktagon-45-sanikidze-vs-keita/odds
OKTAGON 45: Sanikidze vs Keita,"July 28, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Daniel Škvor,-260,,Nermin Hajdarpasic,+200,,https://fightodds.io/mma-events/4756/oktagon-45-sanikidze-vs-keita/odds
OKTAGON 45: Sanikidze vs Keita,"July 28, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Lazar Todev,-275,,Wallyson Carvalho,+215,,https://fightodds.io/mma-events/4756/oktagon-45-sanikidze-vs-keita/odds
OKTAGON 45: Sanikidze vs Keita,"July 28, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Jan Siroky,+200,,Ondrej Petrasek,-260,,https://fightodds.io/mma-events/4756/oktagon-45-sanikidze-vs-keita/odds
OKTAGON 45: Sanikidze vs Keita,"July 28, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Akonne Wanliss,-400,,Giorgi Gogotchuri,+300,,https://fightodds.io/mma-events/4756/oktagon-45-sanikidze-vs-keita/odds
OKTAGON 45: Sanikidze vs Keita,"July 28, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Roman Paulus,-120,,Callum Mullen,-110,,https://fightodds.io/mma-events/4756/oktagon-45-sanikidze-vs-keita/odds
OKTAGON 45: Sanikidze vs Keita,"July 28, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",James Lewis,+215,,Vladislav Kanchev,-275,,https://fightodds.io/mma-events/4756/oktagon-45-sanikidze-vs-keita/odds
OKTAGON 45: Sanikidze vs Keita,"July 28, 2023",Central Tennis Court Štvanice,"Prague, Czech Republic",Ivan Klevets,-305,,Nikolaos Serbezis,+245,,https://fightodds.io/mma-events/4756/oktagon-45-sanikidze-vs-keita/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Tom Aspinall,-500,-480,Marcin Tybura,+375,+375,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Molly McCann,-210,-189,Julija Stoliarenko,+180,+165,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Nathaniel Wood,-206,-208,Andre Fili,+176,+180,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Paul Craig,+200,+195,Andre Muniz,-235,-227,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Jai Herbert,+148,+154,Fares Ziam,-173,-176,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Lerone Murphy,-144,-161,Joshua Culibao,+124,+120,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Davey Grant,+124,+125,Daniel Marcos,-144,-144,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Danny Roberts,-152,-132,Johnny Parsons,+132,+115,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Marc Diakiese,+180,+175,Joel Alvarez,-210,-207,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Jamal Pogues,-146,-150,Michael Parkin,+126,+130,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Bryan Barberena,+285,+285,Makhmud Muradov,-350,-361,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Ketlen Vieira,-156,-156,Pannie Kianzad,+136,+135,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Chris Duncan,-139,-144,Yanal Ashmuz,+119,+125,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Bruna Emanuele Brasil,-148,-150,Shauna Bannon,+128,+130,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
UFC Fight Night 224: Aspinall vs. Tybura,"July 22, 2023",O2 Arena,"London, England",Jafel Cavalcante Filho,-110,-107,Daniel Barez,-110,-107,https://fightodds.io/mma-events/4671/ufc-fight-night-224-aspinall-vs-tybura/odds
Centurion FC 13: Rex Orientem,"July 21, 2023",Casa Ibarra,"Manila, Philippines",Jean-Jacques Lubaya,-550,,Mario Sismundo,+400,,https://fightodds.io/mma-events/5009/centurion-fc-13-rex-orientem/odds
Centurion FC 13: Rex Orientem,"July 21, 2023",Casa Ibarra,"Manila, Philippines",Kimbert Alintozon,-160,,Marvin Malunes,+130,,https://fightodds.io/mma-events/5009/centurion-fc-13-rex-orientem/odds
Centurion FC 13: Rex Orientem,"July 21, 2023",Casa Ibarra,"Manila, Philippines",Fernando Venus,-110,,Ely Malinis Fernandez,-120,,https://fightodds.io/mma-events/5009/centurion-fc-13-rex-orientem/odds
