Event Name,Event Date,Venue,City,Fighter 1,BetOnline,Pinnacle,Fighter 2,BetOnline,Pinnacle,Link
ONE Fight Night 12: Kryklia vs. Xhaja,"July 14, 2023",Lumpinee Boxing Stadium,"Bangkok, Thailand",Aaron Canarte,+275,,Akbar Abdullaev,-350,,https://fightodds.io/mma-events/4705/one-fight-night-12-kryklia-vs-xhaja/odds
ONE Fight Night 12: Kryklia vs. Xhaja,"July 14, 2023",Lumpinee Boxing Stadium,"Bangkok, Thailand",Walter Goncalves,-225,,Duoji Banma,+185,,https://fightodds.io/mma-events/4705/one-fight-night-12-kryklia-vs-xhaja/odds
ONE Fight Night 12: Kryklia vs. Xhaja,"July 14, 2023",Lumpinee Boxing Stadium,"Bangkok, Thailand",Tammi Musumeci,-500,,Amanda Alequin,+375,,https://fightodds.io/mma-events/4705/one-fight-night-12-kryklia-vs-xhaja/odds
ONE Fight Night 12: Kryklia vs. Xhaja,"July 14, 2023",Lumpinee Boxing Stadium,"Bangkok, Thailand",Lara Fernandez,+300,,Phetjeeja OrMeekhun,-400,,https://fightodds.io/mma-events/4705/one-fight-night-12-kryklia-vs-xhaja/odds
ONE Fight Night 12: Kryklia vs. Xhaja,"July 14, 2023",Lumpinee Boxing Stadium,"Bangkok, Thailand",Constantin Rusu,-305,,Bogdan Shumarov,+245,,https://fightodds.io/mma-events/4705/one-fight-night-12-kryklia-vs-xhaja/odds
BKFC 47: Mundell vs. Richman,"July 14, 2023",Jenkins Arena,"Lakeland, Florida",David Mundell,+123,,Mike Richman,-153,,https://fightodds.io/mma-events/4764/bkfc-47-mundell-vs-richman/odds
BKFC 47: Mundell vs. Richman,"July 14, 2023",Jenkins Arena,"Lakeland, Florida",Josh Dyer,+120,,Jared Warren,-150,,https://fightodds.io/mma-events/4764/bkfc-47-mundell-vs-richman/odds
BKFC 47: Mundell vs. Richman,"July 14, 2023",Jenkins Arena,"Lakeland, Florida",Brandon Allen,-201,,Seth Shaffer,+161,,https://fightodds.io/mma-events/4764/bkfc-47-mundell-vs-richman/odds
BKFC 47: Mundell vs. Richman,"July 14, 2023",Jenkins Arena,"Lakeland, Florida",Gabriel Freyre,,,Josh Wright,,,https://fightodds.io/mma-events/4764/bkfc-47-mundell-vs-richman/odds
BKFC 47: Mundell vs. Richman,"July 14, 2023",Jenkins Arena,"Lakeland, Florida",Ryan Reber,+160,,Travis Thompson,-200,,https://fightodds.io/mma-events/4764/bkfc-47-mundell-vs-richman/odds
BKFC 47: Mundell vs. Richman,"July 14, 2023",Jenkins Arena,"Lakeland, Florida",Martyna Krol,-825,,Gabrielle Roman,+575,,https://fightodds.io/mma-events/4764/bkfc-47-mundell-vs-richman/odds
BKFC 47: Mundell vs. Richman,"July 14, 2023",Jenkins Arena,"Lakeland, Florida",Tony Murphy,-950,,Michael Jones,+650,,https://fightodds.io/mma-events/4764/bkfc-47-mundell-vs-richman/odds
BKFC 47: Mundell vs. Richman,"July 14, 2023",Jenkins Arena,"Lakeland, Florida",Crystal Pittman,-600,,Toni Tallman,+425,,https://fightodds.io/mma-events/4764/bkfc-47-mundell-vs-richman/odds
BKFC 47: Mundell vs. Richman,"July 14, 2023",Jenkins Arena,"Lakeland, Florida",Ja'Far Fortt,-120,,Tim Hester,-110,,https://fightodds.io/mma-events/4764/bkfc-47-mundell-vs-richman/odds
CFFC 121: Perez vs. Vasil,"July 14, 2023",Horseshoe Casino & Hotel,"Tunica, Mississippi, United States",Jose Perez,-350,,Chris Vasil,+275,,https://fightodds.io/mma-events/4986/cffc-121-perez-vs-vasil/odds
CFFC 121: Perez vs. Vasil,"July 14, 2023",Horseshoe Casino & Hotel,"Tunica, Mississippi, United States",Jarious Gill,+500,,Danny Barlow,-700,,https://fightodds.io/mma-events/4986/cffc-121-perez-vs-vasil/odds
CFFC 121: Perez vs. Vasil,"July 14, 2023",Horseshoe Casino & Hotel,"Tunica, Mississippi, United States",Raheam Forest,-220,,Treston Vines,+180,,https://fightodds.io/mma-events/4986/cffc-121-perez-vs-vasil/odds
CFFC 121: Perez vs. Vasil,"July 14, 2023",Horseshoe Casino & Hotel,"Tunica, Mississippi, United States",Rebecca Evans,+110,,Marilia Morais,-140,,https://fightodds.io/mma-events/4986/cffc-121-perez-vs-vasil/odds
CFFC 121: Perez vs. Vasil,"July 14, 2023",Horseshoe Casino & Hotel,"Tunica, Mississippi, United States",Lydell Poag,-150,,Keith Dowell,+120,,https://fightodds.io/mma-events/4986/cffc-121-perez-vs-vasil/odds
CFFC 121: Perez vs. Vasil,"July 14, 2023",Horseshoe Casino & Hotel,"Tunica, Mississippi, United States",Petera Wilson,-1500,,Langston Nembhard,+850,,https://fightodds.io/mma-events/4986/cffc-121-perez-vs-vasil/odds
CFFC 121: Perez vs. Vasil,"July 14, 2023",Horseshoe Casino & Hotel,"Tunica, Mississippi, United States",Evaniel Johnson,+150,,Joseph Tran,-180,,https://fightodds.io/mma-events/4986/cffc-121-perez-vs-vasil/odds
CFFC 121: Perez vs. Vasil,"July 14, 2023",Horseshoe Casino & Hotel,"Tunica, Mississippi, United States",Nakia Brown,-161,,Lige Mitchell,+131,,https://fightodds.io/mma-events/4986/cffc-121-perez-vs-vasil/odds
CFFC 121: Perez vs. Vasil,"July 14, 2023",Horseshoe Casino & Hotel,"Tunica, Mississippi, United States",Christian Echols,-160,,Keanan Patershuk,+130,,https://fightodds.io/mma-events/4986/cffc-121-perez-vs-vasil/odds
EFC 105,"July 13, 2023",EFC Performance Institute,"Sandton, South Africa",Musa Sethwape,+165,,Nkazimulo Zulu,-195,,https://fightodds.io/mma-events/4805/efc-105/odds
EFC 105,"July 13, 2023",EFC Performance Institute,"Sandton, South Africa",Peace Nguphane,-650,,Mark Kamba,+475,,https://fightodds.io/mma-events/4805/efc-105/odds
EFC 105,"July 13, 2023",EFC Performance Institute,"Sandton, South Africa",Micky Cloete,-260,,Vincent Nakana,+200,,https://fightodds.io/mma-events/4805/efc-105/odds
EFC 105,"July 13, 2023",EFC Performance Institute,"Sandton, South Africa",Pietie Coxen,+400,,Jeremie Tshibala,-550,,https://fightodds.io/mma-events/4805/efc-105/odds
EFC 105,"July 13, 2023",EFC Performance Institute,"Sandton, South Africa",Humphrey Mulenga,-500,,Nkosi Doyisa,+375,,https://fightodds.io/mma-events/4805/efc-105/odds
EFC 105,"July 13, 2023",EFC Performance Institute,"Sandton, South Africa",Lecture Ntshangase,-140,,Guide Moyo,+110,,https://fightodds.io/mma-events/4805/efc-105/odds
EFC 105,"July 13, 2023",EFC Performance Institute,"Sandton, South Africa",Tyral Louw,+165,,Teboho Ntene,-205,,https://fightodds.io/mma-events/4805/efc-105/odds
EFC 105,"July 13, 2023",EFC Performance Institute,"Sandton, South Africa",David Mambo,-115,,Andrew Caruth,-115,,https://fightodds.io/mma-events/4805/efc-105/odds
EFC 105,"July 13, 2023",EFC Performance Institute,"Sandton, South Africa",Lukhmaan Jhazbhay,+215,,Tebatso Molele,-275,,https://fightodds.io/mma-events/4805/efc-105/odds
EFC 105,"July 13, 2023",EFC Performance Institute,"Sandton, South Africa",Warren Richards,+700,,Ken Sekeletu,-1000,,https://fightodds.io/mma-events/4805/efc-105/odds
EFC 105,"July 13, 2023",EFC Performance Institute,"Sandton, South Africa",Ayanda Zwane,-130,,Emerson Pedro,+100,,https://fightodds.io/mma-events/4805/efc-105/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Alex Volkanovski,-365,-376,Yair Rodriguez,+290,+295,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Brandon Moreno,-214,-207,Alexandre Pantoja,+184,+175,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Robert Whittaker,-340,-368,Dricus Du Plessis,+280,+290,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Jalin Turner,-270,-295,Daniel Hooker,+230,+240,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Bo Nickal,-1500,-1919,Valentine Woodburn,+750,+1008,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Robbie Lawler,+180,+195,Niko Price,-210,-233,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Tatsuro Taira,-925,-1022,Edgar Chairez,+625,+647,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Yasmine Jauregui,-330,-376,Denise Gomes,+270,+295,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Jim Crute,-150,-141,Alonzo Menifield,+130,+122,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Vitor Petrino,-265,-240,Marcin Prachnio,+225,+200,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Cameron Saaiman,-650,-601,Terrence Mitchell,+475,+432,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Shannon Ross,+130,+124,Jesus Aguilar,-150,-143,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
UFC 290: Volkanovski vs. Rodriguez,"July 8, 2023",T-Mobile Arena,"Las Vegas, Nevada, United States",Kamuela Kirk,+144,+129,Esteban Ribovics,-164,-149,https://fightodds.io/mma-events/4634/ufc-290-volkanovski-vs-rodriguez/odds
LFA 162: Conceição vs. Lopes,"July 7, 2023",Ginásio do Polvilho,"Cajamar, São Paulo, Brazil",Rose Brito,-330,-374,Elaine Lopes,+270,+285,https://fightodds.io/mma-events/4742/lfa-162-conceicao-vs-lopes/odds
LFA 162: Conceição vs. Lopes,"July 7, 2023",Ginásio do Polvilho,"Cajamar, São Paulo, Brazil",Jefferson Nascimento,-125,-135,Italo Gomes,+105,+115,https://fightodds.io/mma-events/4742/lfa-162-conceicao-vs-lopes/odds
LFA 162: Conceição vs. Lopes,"July 7, 2023",Ginásio do Polvilho,"Cajamar, São Paulo, Brazil",Bruno Suema,+425,+415,Alisson Murilo,-600,-602,https://fightodds.io/mma-events/4742/lfa-162-conceicao-vs-lopes/odds
LFA 162: Conceição vs. Lopes,"July 7, 2023",Ginásio do Polvilho,"Cajamar, São Paulo, Brazil",Daniela Antonelli,+230,+230,Estefani Almeida,-270,-290,https://fightodds.io/mma-events/4742/lfa-162-conceicao-vs-lopes/odds
LFA 162: Conceição vs. Lopes,"July 7, 2023",Ginásio do Polvilho,"Cajamar, São Paulo, Brazil",Rafael Tobias,-625,-528,Miguel Porto,+450,+375,https://fightodds.io/mma-events/4742/lfa-162-conceicao-vs-lopes/odds
LFA 162: Conceição vs. Lopes,"July 7, 2023",Ginásio do Polvilho,"Cajamar, São Paulo, Brazil",Thiago Ivan,+425,,Gabriel Costa,-600,,https://fightodds.io/mma-events/4742/lfa-162-conceicao-vs-lopes/odds
LFA 162: Conceição vs. Lopes,"July 7, 2023",Ginásio do Polvilho,"Cajamar, São Paulo, Brazil",Francisco Ataliba,+700,,Michael Oliveira,-1000,,https://fightodds.io/mma-events/4742/lfa-162-conceicao-vs-lopes/odds
LFA 162: Conceição vs. Lopes,"July 7, 2023",Ginásio do Polvilho,"Cajamar, São Paulo, Brazil",Cassio Arduini,+160,,Renildo Monteiro Magave,-185,,https://fightodds.io/mma-events/4742/lfa-162-conceicao-vs-lopes/odds
LFA 162: Conceição vs. Lopes,"July 7, 2023",Ginásio do Polvilho,"Cajamar, São Paulo, Brazil",Guilherme Uriel Silva Costa,,,Abner Rodrigues,+575,,https://fightodds.io/mma-events/4742/lfa-162-conceicao-vs-lopes/odds
LFA 162: Conceição vs. Lopes,"July 7, 2023",Ginásio do Polvilho,"Cajamar, São Paulo, Brazil",Nawira Ferreira da Silva,+475,,Edilania da Silva,-650,,https://fightodds.io/mma-events/4742/lfa-162-conceicao-vs-lopes/odds
LFA 162: Conceição vs. Lopes,"July 7, 2023",Ginásio do Polvilho,"Cajamar, São Paulo, Brazil",Rafaela Silva,+600,,Gabriela Fujimoto,-900,,https://fightodds.io/mma-events/4742/lfa-162-conceicao-vs-lopes/odds
Cage Warriors 156: Bonner vs. Stewart,"July 1, 2023",Vale Sports Arena,"Cardiff, Wales",Matthew Bonner,+115,+120,Darren Stewart,-135,-144,https://fightodds.io/mma-events/4728/cage-warriors-156-bonner-vs-stewart/odds
Cage Warriors 156: Bonner vs. Stewart,"July 1, 2023",Vale Sports Arena,"Cardiff, Wales",Reece McEwan,-470,-732,Leonardo de Oliveira Barbosa,+370,+460,https://fightodds.io/mma-events/4728/cage-warriors-156-bonner-vs-stewart/odds
Cage Warriors 156: Bonner vs. Stewart,"July 1, 2023",Vale Sports Arena,"Cardiff, Wales",Andy Clamp,-190,-210,Ghassan Abdenabi,+165,+170,https://fightodds.io/mma-events/4728/cage-warriors-156-bonner-vs-stewart/odds
Cage Warriors 156: Bonner vs. Stewart,"July 1, 2023",Vale Sports Arena,"Cardiff, Wales",Rory Evans,+185,+190,Jack Eglin,-220,-238,https://fightodds.io/mma-events/4728/cage-warriors-156-bonner-vs-stewart/odds
Cage Warriors 156: Bonner vs. Stewart,"July 1, 2023",Vale Sports Arena,"Cardiff, Wales",Jimmy Quinn,-700,,Dan Kneil,+450,,https://fightodds.io/mma-events/4728/cage-warriors-156-bonner-vs-stewart/odds
Cage Warriors 156: Bonner vs. Stewart,"July 1, 2023",Vale Sports Arena,"Cardiff, Wales",Scott Pedersen,-1100,,Yohan Salvador,+625,,https://fightodds.io/mma-events/4728/cage-warriors-156-bonner-vs-stewart/odds
Cage Warriors 156: Bonner vs. Stewart,"July 1, 2023",Vale Sports Arena,"Cardiff, Wales",Milad Ahady,-1300,,Marcondes Bastos,+675,,https://fightodds.io/mma-events/4728/cage-warriors-156-bonner-vs-stewart/odds
Cage Warriors 156: Bonner vs. Stewart,"July 1, 2023",Vale Sports Arena,"Cardiff, Wales",Stephanie Evans,+140,,Malgorzata Tkocz,-160,,https://fightodds.io/mma-events/4728/cage-warriors-156-bonner-vs-stewart/odds
Cage Warriors 156: Bonner vs. Stewart,"July 1, 2023",Vale Sports Arena,"Cardiff, Wales",Marin Vetrila,-205,,El Hadji Ndiaye,+175,,https://fightodds.io/mma-events/4728/cage-warriors-156-bonner-vs-stewart/odds
Cage Warriors 156: Bonner vs. Stewart,"July 1, 2023",Vale Sports Arena,"Cardiff, Wales",Ieuan Davies,-210,,El Hadji Ndiaye,+170,,https://fightodds.io/mma-events/4728/cage-warriors-156-bonner-vs-stewart/odds
BKFC 46: Franco vs. Tenaglia,"July 1, 2023",Walker Activity Dome,"Newcastle, United Kingdom",Rico Franco,-115,,Franco Tenaglia,-115,,https://fightodds.io/mma-events/4746/bkfc-46-franco-vs-tenaglia/odds
BKFC 46: Franco vs. Tenaglia,"July 1, 2023",Walker Activity Dome,"Newcastle, United Kingdom",Robert Barry,+100,,Ben Bonner,-130,,https://fightodds.io/mma-events/4746/bkfc-46-franco-vs-tenaglia/odds
BKFC 46: Franco vs. Tenaglia,"July 1, 2023",Walker Activity Dome,"Newcastle, United Kingdom",Paul Cook,-185,,Adrian Galvez,+155,,https://fightodds.io/mma-events/4746/bkfc-46-franco-vs-tenaglia/odds
BKFC 46: Franco vs. Tenaglia,"July 1, 2023",Walker Activity Dome,"Newcastle, United Kingdom",Matty Hill,-130,,Dawid Oskar,+100,,https://fightodds.io/mma-events/4746/bkfc-46-franco-vs-tenaglia/odds
BKFC 46: Franco vs. Tenaglia,"July 1, 2023",Walker Activity Dome,"Newcastle, United Kingdom",Bart Król,-260,,Goscha Krautwald,+200,,https://fightodds.io/mma-events/4746/bkfc-46-franco-vs-tenaglia/odds
BKFC 46: Franco vs. Tenaglia,"July 1, 2023",Walker Activity Dome,"Newcastle, United Kingdom",Gary Fox,-1800,,Hayden Sherriff,+900,,https://fightodds.io/mma-events/4746/bkfc-46-franco-vs-tenaglia/odds
BKFC 46: Franco vs. Tenaglia,"July 1, 2023",Walker Activity Dome,"Newcastle, United Kingdom",Morgan Starkey,-145,,Patryk Sagan,+115,,https://fightodds.io/mma-events/4746/bkfc-46-franco-vs-tenaglia/odds
BKFC 46: Franco vs. Tenaglia,"July 1, 2023",Walker Activity Dome,"Newcastle, United Kingdom",Robbie Brown,-220,,Ben Hatchett,+180,,https://fightodds.io/mma-events/4746/bkfc-46-franco-vs-tenaglia/odds
BKFC 46: Franco vs. Tenaglia,"July 1, 2023",Walker Activity Dome,"Newcastle, United Kingdom",Arron Blakey,-265,,Krystian Nadolski,+205,,https://fightodds.io/mma-events/4746/bkfc-46-franco-vs-tenaglia/odds
BKFC 46: Franco vs. Tenaglia,"July 1, 2023",Walker Activity Dome,"Newcastle, United Kingdom",Karl Thompson,-115,,Dustin Rabiega,-115,,https://fightodds.io/mma-events/4746/bkfc-46-franco-vs-tenaglia/odds
